Filename,Age,Ethnicity,Eyes Color,Facial Hair,Gender,Glasses,Hair Color,Hair Covered,Hair Style,Smile,Visible Forehead
5578518074_f1f8dc78a7_5173_37933312@N04_1.png,senior,white,green,no,female,no,blonde,no,short_straight,yes,yes
5439781942_cc34f01d37_5254_41500900@N06_1.png,adult,white,other,no,male,no,black,no,short_straight,no,yes
4664388416_6916bbc34d_4016_10016344@N04_6.png,retirement,white,brown,no,male,eyeglasses,white,no,short_straight,yes,yes
4822852400_cd1ab7a0d6_4142_12993878@N00_2.png,middle_aged,white,blue,no,female,no,black,no,long_straight,yes,yes
4983630606_7c131dd9c8_4103_7231700@N07_1.png,middle_aged,white,brown,light_beard,male,no,brown,no,short_straight,yes,yes
4694643165_4cdd9103da_4006_39682826@N02_1.png,early_adulthood,white,brown,no,male,no,brown,no,short_straight,yes,yes
5249060761_98bafb0b71_5249_56514483@N05_2.png,teenager,white,brown,no,female,no,black,no,long_straight,yes,yes
5212723939_1ccddb916e_4103_9644743@N07_2.png,retirement,white,brown,light_beard,male,eyeglasses,white,no,short_straight,yes,yes
5099147286_7dd0c0186e_4133_30421882@N02_1.png,adult,white,brown,no,male,no,brown,no,short_straight,yes,yes
5245649541_5e96e77745_5248_41302121@N05_2.png,retirement,white,brown,thick_mustache,male,no,black,no,short_straight,no,yes
4751251562_c68621f7bf_4121_63484186@N00_2.png,senior,white,other,no,male,eyeglasses,white,no,short_straight,yes,yes
9841262856_ee09c60f83_3724_40279823@N00_1.png,early_adulthood,white,brown,light_mustache,male,no,black,no,short_straight,yes,yes
5712846467_b55930bf92_3582_62814148@N08_1.png,early_adulthood,white,other,no,male,no,black,no,other,no,yes
6071535630_e1e1558ef7_6181_71606984@N00_2.png,adult,white,other,thick_goatee,male,no,brown,no,short_straight,yes,yes
4695789715_ccd4e909cc_4028_45986643@N07_1.png,adult,white,blue,no,male,eyeglasses,white,no,short_straight,yes,yes
5359494619_1563d426ff_5043_39233839@N07_3.png,adult,white,brown,no,male,no,black,no,short_straight,yes,yes
6043930187_021c590efd_6144_42572950@N03_3.png,adult,white,other,no,male,no,white,no,short_straight,yes,yes
4723153958_f873276290_1181_34555729@N07_4.png,early_adulthood,white,brown,no,male,no,black,no,short_straight,no,yes
5219079796_5afaf80375_5048_56302856@N06_5.png,kid,white,brown,no,male,no,black,no,short_straight,yes,yes
