Filename,Age,Ethnicity,Eyes Color,Facial Hair,Gender,Glasses,Hair Color,Hair Covered,Hair Style,Smile,Visible Forehead
4678283391_38d3b47344_4063_14261229@N05_8_.png,senior,east_asian,brown,no,male,eyeglasses,black,no,short_straight,yes,yes
4833993217_baa0aed52a_4087_30550067@N06_1_.png,teenager,south_asian,other,no,male,no,black,no,short_straight,no,yes
5553321792_18d33069d7_5132_8485582@N07_1_mirror.png,early_adulthood,black,brown,no,female,no,black,no,short_curly,yes,yes
4666231650_ded109aa41_4023_45418091@N00_2_.png,early_adulthood,east_asian,brown,no,male,no,black,no,short_straight,yes,yes
4682604829_d1aa05c954_1289_45280621@N05_3_mirror.png,senior,east_asian,brown,no,male,no,black,no,short_straight,yes,yes
4864803988_504c27932b_4096_24929164@N06_1_.png,early_adulthood,south_asian,brown,thick_goatee,female,no,black,turban,long_straight,yes,yes
4664417412_ddd4ab52c9_4054_42655492@N04_8_mirror.png,adult,south_asian,other,no,female,no,black,no,long_straight,no,no
5557262875_5fa5c27d2d_5268_37933312@N04_3_.png,early_adulthood,black,brown,no,female,no,brown,no,short_curly,yes,yes
5019379751_f830005d4e_4153_29456680@N06_2_.png,adult,black,brown,no,male,no,black,no,short_curly,yes,yes
4665086887_1aae419f1d_4034_50774375@N04_1_.png,early_adulthood,east_asian,other,no,female,no,brown,no,long_straight,no,no
5991480663_779fa7156e_6150_49151834@N03_1_mirror.png,elderly,black,other,no,male,no,other,cap,other,no,yes
6345931084_deb6bc3c4e_6032_52913266@N07_1_mirror.png,middle_aged,black,brown,no,female,no,black,cap,short_curly,yes,yes
4693266556_e4dd82a9ee_4056_40008754@N07_4_mirror.png,retirement,east_asian,brown,no,female,no,black,no,short_straight,no,yes
4977735383_904fab0b0f_4130_38736624@N03_1_.png,baby,south_asian,other,no,male,no,black,no,short_straight,no,yes
5613229482_fdebc78735_5309_61671418@N06_2_.png,middle_aged,white,brown,no,female,no,brown,no,long_straight,yes,yes
5025906106_16da928fdb_4127_11267923@N00_1_.png,early_adulthood,white,other,no,female,no,black,no,long_straight,no,yes
4708960306_bf00eb4c96_4017_37050102@N06_1_mirror.png,early_adulthood,south_asian,brown,thick_goatee,male,no,black,no,short_curly,yes,no
5980456125_66952f89bf_6014_68022967@N00_3_.png,adult,white,green,light_beard,male,no,blonde,no,short_straight,yes,yes
4678217579_54a572c2e1_4047_14261229@N05_5_.png,early_adulthood,east_asian,brown,no,female,no,black,no,short_straight,yes,no
6212289606_b2664cfdc0_6101_27814015@N03_1_.png,middle_aged,white,other,no,female,eyeglasses,brown,no,long_straight,yes,yes
5109768329_247802cff6_1254_39178873@N00_1_mirror.png,early_adulthood,east_asian,brown,no,male,no,black,no,short_straight,no,yes
5961354220_73885f3ba2_6131_64821438@N06_3_.png,kid,black,brown,no,female,no,black,no,short_curly,yes,yes
4847927216_29aa791422_4146_33315510@N00_2_.png,early_adulthood,south_asian,brown,no,female,no,black,turban,long_straight,yes,yes
5928794652_0429c86f61_6007_11555596@N02_6_.png,kid,white,blue,no,female,no,black,no,short_curly,no,yes
5475653029_f66db16bcc_5171_99425225@N00_1_.png,teenager,black,brown,no,female,no,black,no,long_curly,no,no
6000221890_6d074cf057_6121_49151834@N03_1_.png,teenager,white,brown,no,male,no,other,no,bald,yes,yes
4673189281_eff49c5a57_4052_30821632@N02_1_mirror.png,early_adulthood,white,other,no,male,sunglasses,black,no,long_straight,no,yes
4809485919_ae88245465_4120_38005738@N08_8_mirror.png,senior,white,other,no,male,no,white,no,short_straight,yes,yes
5088787260_6ab022bed0_4083_8262984@N03_1_.png,adult,white,other,no,male,no,other,turban,other,no,no
